Ticker,SimFinId,Date,Close,Volume,Shares Outstanding,Company Name,day_of_week,month,quarter,year,daily_return,ema_20,next_day_return,target_class,next_day_price
AAPL,111052,2019-06-10,48.15,104883404,18404300000.0,APPLE INC,0,6,2,2019,1.2831299957930153,46.47045982178601,1.142263759086198,1,48.7
AAPL,111052,2019-06-11,48.7,107731528,18404300000.0,APPLE INC,1,6,2,2019,1.142263759086198,46.682796981615915,-0.308008213552373,0,48.55
AAPL,111052,2019-06-12,48.55,73012756,18404300000.0,APPLE INC,2,6,2,2019,-0.308008213552373,46.86062584050964,-0.02059732234809065,0,48.54
AAPL,111052,2019-06-13,48.54,86698500,18404300000.0,APPLE INC,3,6,2,2019,-0.02059732234809065,47.02056623665158,-0.7210548001648155,0,48.19
AAPL,111052,2019-06-14,48.19,75045896,18404300000.0,APPLE INC,4,6,2,2019,-0.7210548001648155,47.13194088078001,0.5810334094210441,1,48.47
AAPL,111052,2019-06-17,48.47,58676576,18404300000.0,APPLE INC,0,6,2,2019,0.5810334094210441,47.25937508261048,2.3519702909015896,1,49.61
AAPL,111052,2019-06-18,49.61,106204016,18404300000.0,APPLE INC,1,6,2,2019,2.3519702909015896,47.48324412236187,-0.28220116911913035,0,49.47
AAPL,111052,2019-06-19,49.47,84496940,18404300000.0,APPLE INC,2,6,2,2019,-0.28220116911913035,47.67245896785121,0.8085708510208178,1,49.87
AAPL,111052,2019-06-20,49.87,86055952,18404300000.0,APPLE INC,3,6,2,2019,0.8085708510208178,47.88174858996062,-0.3408863043914069,0,49.7
AAPL,111052,2019-06-21,49.7,191202356,18404300000.0,APPLE INC,4,6,2,2019,-0.3408863043914069,48.054915390916754,-0.10060362173039086,0,49.65
AAPL,111052,2019-06-24,49.65,72881684,18404300000.0,APPLE INC,0,6,2,2019,-0.10060362173039086,48.20682821082944,-1.5307150050352427,0,48.89
AAPL,111052,2019-06-25,48.89,84281336,18404300000.0,APPLE INC,1,6,2,2019,-1.5307150050352427,48.27189219075045,2.1681325424422218,1,49.95
AAPL,111052,2019-06-26,49.95,104270048,18404300000.0,APPLE INC,2,6,2,2019,2.1681325424422218,48.43171198210755,-0.02002002002003026,0,49.94
AAPL,111052,2019-06-27,49.94,83598868,18404300000.0,APPLE INC,3,6,2,2019,-0.02002002002003026,48.57535846000207,-0.9211053263916716,0,49.48
AAPL,111052,2019-06-28,49.48,124442568,18404300000.0,APPLE INC,4,6,2,2019,-0.9211053263916716,48.66151479714473,1.8391269199676714,1,50.39
AAPL,111052,2019-07-01,50.39,109266956,18125580000.0,APPLE INC,0,7,3,2019,1.8391269199676714,48.8261324355119,0.5755110140900955,1,50.68
AAPL,111052,2019-07-02,50.68,67740868,18125580000.0,APPLE INC,1,7,3,2019,0.5755110140900955,49.00269125117744,0.8287292817679592,1,51.1
AAPL,111052,2019-07-03,51.1,45448180,18125580000.0,APPLE INC,2,7,3,2019,0.8287292817679592,49.20243494154149,-0.07827788649706291,0,51.06
AAPL,111052,2019-07-05,51.06,69062072,18125580000.0,APPLE INC,4,7,3,2019,-0.07827788649706291,49.37934589948992,-2.0564042303172823,0,50.01
AAPL,111052,2019-07-08,50.01,101354512,18125580000.0,APPLE INC,0,7,3,2019,-2.0564042303172823,49.4394081947766,0.5998800239952095,1,50.31
AAPL,111052,2019-07-09,50.31,82312060,18125580000.0,APPLE INC,1,7,3,2019,0.5998800239952095,49.522321700035974,0.9938382031405287,1,50.81
AAPL,111052,2019-07-10,50.81,71588552,18125580000.0,APPLE INC,2,7,3,2019,0.9938382031405287,49.64495772860398,-0.7282031096240987,0,50.44
AAPL,111052,2019-07-11,50.44,80767368,18125580000.0,APPLE INC,3,7,3,2019,-0.7282031096240987,49.7206760401655,0.7731958762886609,1,50.83
AAPL,111052,2019-07-12,50.83,70380848,18125580000.0,APPLE INC,4,7,3,2019,0.7731958762886609,49.82632594110212,0.9246507967735567,1,51.3
AAPL,111052,2019-07-15,51.3,67789680,18125580000.0,APPLE INC,0,7,3,2019,0.9246507967735567,49.96667585147335,-0.3508771929824556,0,51.12
AAPL,111052,2019-07-16,51.12,67467264,18125580000.0,APPLE INC,1,7,3,2019,-0.3508771929824556,50.076516246571124,-0.5477308294209586,0,50.84
AAPL,111052,2019-07-17,50.84,56429800,18125580000.0,APPLE INC,2,7,3,2019,-0.5477308294209586,50.149228984992924,1.1211644374508125,1,51.41
AAPL,111052,2019-07-18,51.41,74328644,18125580000.0,APPLE INC,3,7,3,2019,1.1211644374508125,50.2693024149936,-1.478311612526742,0,50.65
AAPL,111052,2019-07-19,50.65,83717228,18076720000.0,APPLE INC,4,7,3,2019,-1.478311612526742,50.30555932785135,2.2704837117472825,1,51.8
AAPL,111052,2019-07-22,51.8,89111728,18076720000.0,APPLE INC,0,7,3,2019,2.2704837117472825,50.44788701091312,0.7915057915057987,1,52.21
AAPL,111052,2019-07-23,52.21,73420840,18076720000.0,APPLE INC,1,7,3,2019,0.7915057915057987,50.61570729558806,-0.07661367554108245,0,52.17
AAPL,111052,2019-07-24,52.17,59966268,18076720000.0,APPLE INC,2,7,3,2019,-0.07661367554108245,50.76373517219872,-0.7858922752539844,0,51.76
AAPL,111052,2019-07-25,51.76,55638140,18076720000.0,APPLE INC,3,7,3,2019,-0.7858922752539844,50.858617536751225,0.3477588871715605,1,51.94
AAPL,111052,2019-07-26,51.94,70475496,18076720000.0,APPLE INC,4,7,3,2019,0.3477588871715605,50.961606342774914,0.9241432422025492,1,52.42
AAPL,111052,2019-07-29,52.42,86693556,18076720000.0,APPLE INC,0,7,3,2019,0.9241432422025492,51.100500976796354,-0.4196871423120924,0,52.2
AAPL,111052,2019-07-30,52.2,135742872,18076720000.0,APPLE INC,1,7,3,2019,-0.4196871423120924,51.205215169482415,2.030651340996159,1,53.26
AAPL,111052,2019-07-31,53.26,277125444,18076720000.0,APPLE INC,2,7,3,2019,2.030651340996159,51.400908962865046,-2.1592189260232795,0,52.11
AAPL,111052,2019-08-01,52.11,216071688,18076720000.0,APPLE INC,3,8,3,2019,-2.1592189260232795,51.46844144259218,-2.110919209364808,0,51.01
AAPL,111052,2019-08-02,51.01,163448488,18076720000.0,APPLE INC,4,8,3,2019,-2.110919209364808,51.4247803528215,-5.2342677906292785,0,48.34
AAPL,111052,2019-08-05,48.34,209571876,18076720000.0,APPLE INC,0,8,3,2019,-5.2342677906292785,51.13099174779088,1.8824989656599018,1,49.25
AAPL,111052,2019-08-06,49.25,143299148,18076720000.0,APPLE INC,1,8,3,2019,1.8824989656599018,50.9518496765727,1.0355329949238539,1,49.76
AAPL,111052,2019-08-07,49.76,133457600,18076720000.0,APPLE INC,2,8,3,2019,1.0355329949238539,50.838340183565776,2.210610932475887,1,50.86
AAPL,111052,2019-08-08,50.86,108038092,18076720000.0,APPLE INC,3,8,3,2019,2.210610932475887,50.84040302322618,-1.1993708218639392,0,50.25
AAPL,111052,2019-08-09,50.25,98478984,18076720000.0,APPLE INC,4,8,3,2019,-1.1993708218639392,50.784174163871306,-0.25870646766169664,0,50.12
AAPL,111052,2019-08-12,50.12,89927556,18076720000.0,APPLE INC,0,8,3,2019,-0.25870646766169664,50.720919481597846,4.229848363926585,1,52.24
AAPL,111052,2019-08-13,52.24,190159144,18076720000.0,APPLE INC,1,8,3,2019,4.229848363926585,50.86559381668377,-2.967075038284847,0,50.69
AAPL,111052,2019-08-14,50.69,146189772,18076720000.0,APPLE INC,2,8,3,2019,-2.967075038284847,50.84887059604722,-0.49319392385085814,0,50.44
AAPL,111052,2019-08-15,50.44,111533452,18076720000.0,APPLE INC,3,8,3,2019,-0.49319392385085814,50.80993053928081,2.339413164155432,1,51.62
